Key,Source,en-us,ko,ru,zh-cn
Studio.Common.Action.Play,Play,Play,플레이,Воспроизвести,开始游戏
Studio.Common.Action.File,File,File,파일,Файл,文件
Studio.Toolbox.AssetConfigPackagePermissions.UseViewLabel,Use & View,Use & View,사용 및 보기,Использование и Просмотр,使用和查看
Studio.Common.Action.Cut,Cut,Cut,잘라내기,Вырезать,剪切
Studio.Toolbox.General.AssetTypeShirt,Shirt,Shirt,셔츠,Рубашка,上衣
Studio.Common.Action.Replace,Replace,Replace,바꾸기,Заменить,替换
Studio.Toolbox.General.CategoryCreationsHats,Hats,Hats,모자,Головные уборы,帽子
Studio.Toolbox.General.SearchResults,Search Results,Search Results,검색 결과,Результаты поиска,搜索结果
Studio.Common.Action.Ignore,Ignore,Ignore,무시,Пропустить,忽略
Studio.Common.Action.Close,Close,Close,닫기,Закрыть,关闭
Studio.Common.Action.LabelWithColon1,%1:,%1:,%1:,%1:,%1
Studio.Toolbox.Purchase.FailedDetails,Purchase of "{name}" failed.,Purchase of "{name}" failed.,"{name}" 구매에 실패했습니다.,"{name}": покупка не совершена.,购买 "{name}" 失败。
Studio.Common.Action.Apply,Apply,Apply,적용,Применить,应用
Studio.Toolbox.General.SearchOptionsApply,Apply,Apply,적용,Применить,应用
Studio.Common.Action.Cancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.General.SearchOptionsCancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.Purchase.Cancel,Cancel,Cancel,취소,Отмена,取消
Studio.Toolbox.General.SearchTagCreator,by:,by:,제작:,параметр:,作者:
Studio.Common.Action.Rotate,Rotate,Rotate,회전,Вращать,旋转
Studio.Common.Action.Delete,Delete,Delete,삭제,Удалить,删除
Studio.Common.Action.ShowDetails,Show Details,Show Details,세부 정보 표시, ,显示详情
Studio.Common.Action.Height,Height,Height,높이,Высота,高度
Studio.Common.Action.Clear,Clear,Clear,지우기,Очистить,清除
Studio.Toolbox.General.SearchResultsClearAll,Clear,Clear,지우기,Очистить,清除
Studio.Toolbox.General.StatusReviewPending,In Review,In Review,검토 중,На рассмотрении,审阅中
Studio.Toolbox.ThumbnailStatus.InReview,In Review,In Review,검토 중,На рассмотрении,审阅中
Studio.Common.Action.Back,Back,Back,뒤로,Назад,返回
Studio.Common.Action.Continue,Continue,Continue,계속,Продолжить,继续
Studio.Common.Action.Copy,Copy,Copy,복사,Копировать,复制
Studio.Toolbox.AssetConfigPreview.Change,Change,Change,변경,Изменить,更改
Studio.Common.Action.Remove,Remove,Remove,제거,Удалить,移除
Studio.Toolbox.AssetConfigError.NetworkError,We encountered some problems:,We encountered some problems:,문제가 발생했습니다.,Обнаружены проблемы:,我们遇到了一些问题：
Studio.Common.Action.Create,Create,Create,만들기,Создать,创建
Studio.Toolbox.AssetConfigPackagePermissions.UserOwnedWarning, Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package., Users you share with will always have access to the current and previous versions of this package. Removing collaborators will discontinue their access to newer versions of the package., 공유 받는 사용자는 항상 이 패키지의 현재 및 이전 버전에 액세스할 수 있습니다. 공동 작업자를 제거하면 최신 버전의 패키지에 대한 액세스가 중단됩니다.,"Пользователи, с которыми вы делитесь, всегда будут иметь доступ к текущей и предыдущей версиям этого пакета. Пользователи, отключенные от совместной работы, потеряют доступ к новым версиям пакета.", 你所进行共享的用户将始终拥有此包最新与先前版本的访问权限。将协作者移除后，也将终止其对此包今后版本的访问权限。
Studio.Common.Action.New,New,New,새로 만들기,Создать,新增
Studio.Common.Action.Error,Error,Error,오류,Ошибка,错误
Studio.Toolbox.AssetConfig.Error,Error,Error,오류,Ошибка,错误
Studio.Toolbox.ThumbnailStatus.Error,Error,Error,오류,Ошибка,错误
Studio.Toolbox.NoTagFound,Word(s) not found in the tag library,Word(s) not found in the tag library,태그 라이브러리에서 단어를 찾을 수 없음,В библиотеке тегов нет искомого,未能在标签库中找到相应词语
Studio.Common.Action.Edit,Edit,Edit,편집,Изменить,编辑
Studio.Toolbox.AssetConfigPackagePermissions.EditLabel,Edit,Edit,편집,Изменить,编辑
Studio.Common.Action.Exit,Exit,Exit,나가기,Выход,退出
Studio.Common.Action.Find,Find,Find,찾기,Найти,查找
Studio.Common.Action.LearnMore,Learn More,Learn More,더 알아보기, ,了解更多
Studio.Toolbox.General.AssetTypeFrontAccessory,Front Accessory,Front Accessory,전면 장신구,Перед: аксессуары,正面配件
Studio.Common.Action.No,No,No,아니요,Нет,否
Studio.Toolbox.General.AssetTypeModel,Model,Model,모델,Модель,模型
Studio.Common.Action.Help,Help,Help,도움말,Справка,帮助
Studio.Common.Action.Home,Home,Home,홈,Главная,首页
Studio.Common.Action.Insert,Insert,Insert,삽입,Вставить,插入
Studio.Common.Action.Next,Next,Next,다음,Далее,下一个
Studio.Common.Action.Paste,Paste,Paste,붙여넣기,Вставить,粘贴
Studio.Common.Action.Save,Save,Save,저장,Сохранить,保存
Studio.Toolbox.General.SalesOffsaleApplyToSave,Offsale (apply to save changes),Offsale (apply to save changes),판매 종료(적용하여 변경 사항 저장),Не в продаже (применить,下架 (应用以保存更改)
Studio.Common.Action.Warning,Warning,Warning,경고,Предупреждение,警告
Studio.Toolbox.Purchase.BuyPrompt,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,Would you like to buy "{name}" from {creator} for {robux:int} Robux?,{creator}에게 "{name}"을(를) {robux:int} Robux에 구매할까요?,"\"{name}\", автор {creator}: купить для {robux:int} Robux?",你要以 {robux:int} Robux 从 {creator} 处购买 "{name}" 吗?
Studio.Toolbox.General.SuggestionsLight,Light,Light,조명,Свет,光
Studio.Common.Action.OK,OK,OK,확인,ОК,确认
Studio.Common.Action.Open,Open,Open,열기,Открыть,打开
Studio.Common.Action.Search,Search,Search,검색,Поиск,搜索
Studio.Toolbox.General.SearchBarDefaultText,Search,Search,검색,Поиск,搜索
Studio.Common.Action.Redo,Redo,Redo,다시 실행,Вернуть,恢复
Studio.Toolbox.General.NoPluginsFound.TextLine1,Can’t find what you’re looking for?,Can’t find what you’re looking for?,항목을 찾을 수 없나요?, ,未能搜索到相关内容？
Studio.Toolbox.General.Description,Description,Description,설명,Описание,描述
Studio.Toolbox.General.Title,Title,Title,제목,Название,标题
Studio.Common.Action.Okay,Okay,Okay,확인,ОК,好的
Studio.Common.Action.Select,Select,Select,선택,Выбрать,选择
Studio.Toolbox.General.Copy,Allow Copying,Allow Copying,복사 허용,Разрешить копирование,允许复制
Studio.Common.Action.Pause,Pause,Pause,일시 중지,Пауза,暂停
Studio.Toolbox.AssetUploadResult.Success,Successfully submitted!,Successfully submitted!,제출 성공!, ,提交成功！
Studio.Toolbox.AssetConfigPackagePermissions.PackageOwner,Package Owner,Package Owner,패키지 소유자,Владелец пакета,包所有者
Studio.Common.Action.Fill,Fill,Fill,채우기,Заполнить,填充
Studio.Toolbox.AssetConfigPackagePermissions.UseViewDescription,Can use and view this package,Can use and view this package,이 패키지를 사용하고 볼 수 있습니다,Можно использовать и просматривать пакет,可以使用并查看此包
Studio.Common.Action.Previous,Previous,Previous,이전,Предыдущий,上一个
Studio.Common.Action.Reload,Reload,Reload,다시 불러오기,Перезагрузить,重新加载
Studio.Toolbox.AssetConfigPreview.Process,Image will be reviewed by moderators before being made visible to other users,Image will be reviewed by moderators before being made visible to other users,이미지는 검열팀의 검토가 끝난 후에 다른 사용자들에게 공개됩니다,"Изображение будет рассмотрено модераторами перед тем, как его увидят другие пользователи.",图片将由协调员审查，然后再对其他用户开放显示
Studio.Common.Action.Loading,Loading...,Loading...,불러오는 중...,Загрузка...,正在加载...
Studio.Toolbox.General.PreviewAreaAssetID,Asset ID: {assetId},Asset ID: {assetId},애셋 ID: {assetId},ID ресурса: {assetId},素材 ID: {assetId}
Studio.Common.Action.Rename,Rename,Rename,이름 변경,Переименовать,重命名
Studio.Toolbox.General.RightClickMenuCopyAssetID,Copy Asset ID,Copy Asset ID,애셋 ID 복사,Копировать ID ресурса,复制素材 ID
Studio.Common.Action.Resize,Resize,Resize,크기 조정,Изменить размер,缩放
Studio.Common.Action.Retry,Retry,Retry,다시 시도,Повтор,重试
Studio.Toolbox.Purchase.Retry,Retry,Retry,다시 시도,Повтор,重试
Studio.Common.Action.Share,Share,Share,공유,Поделиться,分享
Studio.Common.Action.Submit,Submit,Submit,제출,Завершить,提交
Studio.Common.Action.Stop,Stop,Stop,중지,Остановить,停止
Studio.Toolbox.General.SortByUpdated,Updated,Updated,업데이트됨,Обновление выполнено,已更新
Studio.Common.Action.Yes,Yes,Yes,예,Да,是
Studio.Toolbox.General.SuggestionsVehicle,Vehicle,Vehicle,차량,Транспорт,车辆
Studio.Common.Action.Undo,Undo,Undo,실행 취소,Отменить,撤消
Studio.Common.Action.Confirm,Confirm,Confirm,확인, ,确认
Studio.Toolbox.General.CategoryRecentDecals,Recent Images,Recent Images,최근 이미지,Недавние изображения,最近使用的图片
Studio.Common.Action.Update,Update,Update,업데이트,Обновить,更新
Studio.Common.Action.Reset,Reset,Reset,재설정,Сброс,重置
Studio.Toolbox.General.CategoryGroupDecals,Group Images,Group Images,그룹 이미지,Изображения группы,群组图片
Studio.Common.Action.Name,Name,Name,이름,Имя,名称
Studio.Toolbox.General.AssetTypeTeeShirt,T-Shirt,T-Shirt,티셔츠,Футболка,T 恤
Studio.Common.Action.Goto,Goto,Goto,이동,Перейти,前往
Studio.Common.Action.Move,Move,Move,이동,Переместить,移动
Studio.Common.Action.Resume,Resume,Resume,재개, ,继续
Studio.Common.Action.Value,Value,Value,값,Значение,值
Studio.Toolbox.General.PreviewAreaStatus,Status: {assetStatus},Status: {assetStatus},상태: {assetStatus},Статус: {assetStatus},状态: {assetStatus}
Studio.Common.Action.Width,Width,Width,넓이,Ширина,宽度
Studio.Common.Action.Install,Install,Install,설치,Установить,安装
Studio.Common.Action.Installed,Installed,Installed,설치됨,Установлено,已安装
Studio.Toolbox.General.TabInventory,Inventory,Inventory,인벤토리,Снаряжение,背包
Studio.Common.Action.HideDetails,Hide Details,Hide Details,세부 정보 숨기기, ,隐藏详情
Studio.Toolbox.General.NoPluginsFound.TextLine2,"For more plugins, try searching in the {link} on our website.","For more plugins, try searching in the {link} on our website.",더 많은 플러그인을 보려면 웹사이트의 {link}에서 검색하세요., ,若想获取更多插件，请在网站{link}中进行搜索。
Studio.Common.Action.SelectAll,Select All,Select All,모두 선택, ,全选
Studio.Toolbox.General.ToolboxToolbarName,Toolbox,Toolbox,도구 상자,Панель инструментов,工具箱
Studio.Toolbox.General.CategoryCreationsModels,Models,Models,모델,Модели,模型
Studio.Toolbox.General.CategoryModels,Models,Models,모델,Модели,模型
Studio.Toolbox.General.CategoryCreationsDecals,Images,Images,이미지,Изображения,图片
Studio.Toolbox.General.CategoryDecals,Images,Images,이미지,Изображения,图片
Studio.Toolbox.General.CategoryCreationsMeshes,Meshes,Meshes,메시,Сетки,网格
Studio.Toolbox.General.CategoryMeshes,Meshes,Meshes,메시,Сетки,网格
Studio.Toolbox.General.AssetTypeAudio,Audio,Audio,오디오,Звук,音频
Studio.Toolbox.General.CategoryAudio,Audio,Audio,오디오,Звук,音频
Studio.Toolbox.General.CategoryCreationsAudio,Audio,Audio,오디오,Звук,音频
Studio.Toolbox.General.CategoryCreationsPlugins,Plugins,Plugins,플러그인,Плагины,插件
Studio.Toolbox.General.CategoryPaidPlugins,Plugins,Plugins,플러그인,Плагины,插件
Studio.Toolbox.General.CategoryPlugins,Plugins,Plugins,플러그인,Плагины,插件
Studio.Toolbox.General.CategoryMyModels,My Models,My Models,내 모델,Мои модели,我的模型
Studio.Toolbox.General.CategoryMyDecals,My Images,My Images,내 이미지,Мои изображения,我的图片
Studio.Toolbox.General.CategoryMyMeshes,My Meshes,My Meshes,내 메시,Мои сетки,我的网格
Studio.Toolbox.General.SearchTagLength,length:,length:,길이:, ,长度：
Studio.Toolbox.General.CategoryMyAudio,My Audio,My Audio,내 오디오,Мой звук,我的音频
Studio.Toolbox.General.CategoryMyPackages,My Packages,My Packages,내 패키지,Мои пакеты,我的包
Studio.Toolbox.General.SideTabSales,Sales,Sales,판매,Распродажи,销售
Studio.Toolbox.General.CategoryMyPlugins,My Plugins,My Plugins,내 플러그인,Мои плагины,我的插件
Studio.Toolbox.General.CategoryRecentModels,Recent Models,Recent Models,최근 모델,Недавние модели,最近使用的模型
Studio.Toolbox.General.CategoryRecentMeshes,Recent Meshes,Recent Meshes,최근 메시,Недавние сетки,最近使用的网格
Studio.Toolbox.General.CategoryRecentAudio,Recent Audio,Recent Audio,최근 오디오,Недавние звукозаписи,最近使用的音频
Studio.Toolbox.AssetConfigPackagePermissions.SearchByUser,Search by username,Search by username,사용자 이름으로 검색,Поиск по имени пользователя,依用户名搜索
Studio.Toolbox.General.CategoryCreationsFaceAccessory,Face Accessories,Face Accessories,얼굴 장신구,Лицо: аксесссуары,脸部配件
Studio.Toolbox.General.CategoryGroupModels,Group Models,Group Models,그룹 모델,Модели группы,群组模型
Studio.Toolbox.General.CategoryGroupMeshes,Group Meshes,Group Meshes,그룹 메시,Сетки группы,群组网格
Studio.Toolbox.General.CategoryGroupAudio,Group Audio,Group Audio,그룹 오디오,Звукозаписи группы,群组音频
Studio.Toolbox.General.CategoryGroupPackages,Group Packages,Group Packages,그룹 패키지,Пакеты группы,群组包
Studio.Toolbox.General.SearchBarCreatorText,Search for users,Search for users,사용자 검색,Поиск пользователей,搜索用户
Studio.Toolbox.General.SuggestionsIntroText,Try searching for:,Try searching for:,다음으로 검색:,Попробуйте найти:,尝试搜索:
Studio.Toolbox.General.SuggestionsNPC,NPC,NPC,NPC,НИП,NPC
Studio.Toolbox.General.SuggestionsWeapon,Weapon,Weapon,무기,Оружие,武器
Studio.Toolbox.General.SuggestionsBuilding,Building,Building,건물,Постройки,建筑
Studio.Toolbox.General.SortByText,Sort by:,Sort by:,정렬 기준:,Сортировка:,排序方式:
Studio.Toolbox.General.SortByRelevance,Relevance,Relevance,관련성,Актуальность,关联
Studio.Toolbox.AssetConfigFooter.ImportTitle,Choose an asset to import.,Choose an asset to import.,가져올 애셋을 선택하세요., ,请选择要导入的素材。
Studio.Toolbox.General.SortByMostTaken,Most Taken,Most Taken,사용 횟수,Использование,最多采用
Studio.Toolbox.General.AssetTypePlugin,Plugin,Plugin,플러그인,Плагин,插件
Studio.Toolbox.General.SortByFavorites,Favorites,Favorites,즐겨찾기,Избранное,收藏
Studio.Toolbox.General.CategoryCreationsWaistAccessory,Waist Accessories,Waist Accessories,허리 장신구,Пояс: аксесссуары,腰部配件
Studio.Toolbox.General.SortByRatings,Ratings,Ratings,평가,Рейтинги,评级
Studio.Toolbox.General.StatusOnSale,On Sale,On Sale,판매 시작,В продаже,在售
Studio.Toolbox.General.AssetCreatorIntroText,by {name:username},by {name:username},제작: {name:username},Имя пользователя: {name:username},作者: {name:username}
Studio.Toolbox.General.VotingVoteText,vote,vote,표,голос,票
Studio.Toolbox.General.VotingVotesText,votes,votes,표,голоса,票
Studio.Toolbox.General.FooterBGText,Background:,Background:,배경:,Фон:,背景:
Studio.Toolbox.AssetConfigFooter.UploadWithFee,Submit for,{price:int} Robux,Submit for,{price:int} Robux,{price:int} Robux 사용
제출, ,花费 {price:int} Robux,并提交,Studio.Toolbox.General.CategoryRecentVideos,Recent Videos
Recent Videos,최근 비디오, ,最近使用的视频,Studio.Toolbox.General.FooterButtonWhiteName,White
White,흰색,Белый,白色,Studio.Toolbox.General.FooterButtonBlackName,Black
Black,검은색,Черный,黑色,Studio.Toolbox.General.FooterButtonNoneName,None
None,없음,Нет,无,Studio.Toolbox.General.SalesOnsale,Onsale
Onsale,판매 시작,В продаже,在售,Studio.Toolbox.General.EndorseBadgeTooltipText,Marked as a high-quality item
Marked as a high-quality item,고품질 아이템으로 표시,Обозначен как высококачественный товар,标记为高品质的项目,Studio.Toolbox.AssetConfigPackagePermissions.NoResults,No results found
No results found,결과 없음,Результатов не найдено,未找到结果,Studio.Toolbox.General.InfoBannerText,No results found
No results found,결과 없음,Результатов не найдено,未找到结果,Studio.Toolbox.AssetConfigCopy.AccountSetting,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings."
"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.",마켓플레이스에서 콘텐츠를 공유하려면 계정에 이메일 주소를 추가하고 확인해야 합니다. 이 작업은 계정 설정에서 수행할 수 있습니다., you must add & verify an email address to your account. This can be done in Account Settings.,为了在商店中分享内容，你必须向你的帐户添加电子邮件地址并进行验证。可在“帐户设置”中完成此操作。,Studio.Toolbox.General.CategoryEndorsedPlugins,EndorsedPlugins
